carrier_id,carrier_name,service_level,avg_transit_days,cost_per_lb,tracking_url,is_active,contract_start,contract_end,account_number,_ingested_at
CAR-001,FedEx Ground,GROUND,4,1.49,https://track.fedex.com/{tracking_num},True,2023-01-01,2025-12-31,WR90577204,2026-04-30T04:36:50.726872
CAR-002,FedEx Express,EXPRESS,1,0.63,https://track.fedex.com/{tracking_num},True,2023-01-01,2025-12-31,NK10079419,2026-04-30T04:36:50.726872
CAR-003,UPS Ground,GROUND,3,1.69,https://track.ups.com/{tracking_num},True,2023-01-01,2025-12-31,TN45381097,2026-04-30T04:36:50.726872
CAR-004,UPS 2-Day,EXPRESS,1,1.39,https://track.ups.com/{tracking_num},True,2023-01-01,2025-12-31,LU41224870,2026-04-30T04:36:50.726872
CAR-005,USPS Priority,EXPRESS,1,1.98,https://track.usps.com/{tracking_num},True,2023-01-01,2025-12-31,LL87264963,2026-04-30T04:36:50.726872
CAR-006,DHL Express,EXPRESS,1,1.04,https://track.dhl.com/{tracking_num},True,2023-01-01,2025-12-31,QS51742240,2026-04-30T04:36:50.726872
CAR-007,OnTrac,GROUND,2,0.51,https://track.ontrac.com/{tracking_num},True,2023-01-01,2025-12-31,CM32611890,2026-04-30T04:36:50.726872
CAR-008,LSO,GROUND,3,1.62,https://track.lso.com/{tracking_num},True,2023-01-01,2025-12-31,EA46861630,2026-04-30T04:36:50.726872
CAR-009,Estes,GROUND,5,2.6,https://track.estes.com/{tracking_num},True,2023-01-01,2025-12-31,CM28672020,2026-04-30T04:36:50.726872
CAR-010,Old Dominion,GROUND,2,1.07,https://track.old.com/{tracking_num},True,2023-01-01,2025-12-31,MA53662195,2026-04-30T04:36:50.726872
