dock_id,warehouse_id,carrier_id,shipment_id,activity_type,arrived_at,departed_at,duration_minutes,num_pallets,employee_id,_ingested_at
DOCK-AS-01-20,WH-EAS-01,CAR-001,SHIP-00036628,INBOUND_RECEIVE,2025-10-24T23:59:29,2025-10-25T00:37:29,38,24,EMP-00166,2026-04-30T04:36:50.726872
DOCK-AS-03-06,WH-EAS-03,CAR-002,SHIP-00019321,OUTBOUND_SHIP,2025-12-27T05:01:01,2025-12-27T05:21:01,20,16,EMP-00014,2026-04-30T04:36:50.726872
DOCK-AS-03-11,WH-EAS-03,CAR-006,SHIP-00026502,OUTBOUND_SHIP,2025-12-13T21:22:41,2025-12-13T21:55:41,33,17,EMP-00141,2026-04-30T04:36:50.726872
DOCK-EN-08-01,WH-CEN-08,CAR-004,SHIP-00020476,CROSS_DOCK,2026-04-25T08:33:17,2026-04-25T10:31:17,118,40,EMP-00158,2026-04-30T04:36:50.726872
DOCK-OR-05-22,WH-NOR-05,CAR-001,SHIP-00010942,INBOUND_RECEIVE,2025-08-06T00:50:10,2025-08-06T01:40:10,50,24,EMP-00091,2026-04-30T04:36:50.726872
DOCK-EN-08-07,WH-CEN-08,CAR-010,SHIP-00016045,OUTBOUND_SHIP,2025-09-14T10:55:52,2025-09-14T14:40:52,225,28,EMP-00171,2026-04-30T04:36:50.726872
DOCK-AS-01-18,WH-EAS-01,CAR-008,SHIP-00027536,INBOUND_RECEIVE,2025-10-31T23:36:28,2025-11-01T00:20:28,44,20,EMP-00042,2026-04-30T04:36:50.726872
DOCK-AS-02-05,WH-EAS-02,CAR-010,SHIP-00023197,OUTBOUND_SHIP,2026-04-02T04:51:20,2026-04-02T08:08:20,197,16,EMP-00194,2026-04-30T04:36:50.726872
DOCK-OR-04-16,WH-NOR-04,CAR-004,SHIP-00025322,OUTBOUND_SHIP,2025-11-22T15:51:39,2025-11-22T19:48:39,237,16,EMP-00038,2026-04-30T04:36:50.726872
DOCK-AS-06-17,WH-EAS-06,CAR-003,SHIP-00041898,INBOUND_RECEIVE,2025-05-12T19:07:11,2025-05-12T19:39:11,32,15,EMP-00128,2026-04-30T04:36:50.726872
DOCK-OR-04-13,WH-NOR-04,CAR-004,SHIP-00017349,INBOUND_RECEIVE,2025-07-14T05:58:36,2025-07-14T09:09:36,191,12,EMP-00044,2026-04-30T04:36:50.726872
DOCK-OR-04-14,WH-NOR-04,CAR-005,SHIP-00036935,OUTBOUND_SHIP,2026-02-01T15:53:58,2026-02-01T16:48:58,55,37,EMP-00015,2026-04-30T04:36:50.726872
DOCK-AS-06-19,WH-EAS-06,CAR-008,SHIP-00008877,OUTBOUND_SHIP,2025-11-11T14:03:29,2025-11-11T15:20:29,77,6,EMP-00005,2026-04-30T04:36:50.726872
DOCK-ES-07-06,WH-WES-07,CAR-001,SHIP-00028415,INBOUND_RECEIVE,2025-06-20T05:40:09,2025-06-20T09:32:09,232,28,EMP-00122,2026-04-30T04:36:50.726872
DOCK-OR-04-05,WH-NOR-04,CAR-002,SHIP-00029573,INBOUND_RECEIVE,2025-08-19T00:45:26,2025-08-19T02:06:26,81,3,EMP-00023,2026-04-30T04:36:50.726872
DOCK-AS-03-24,WH-EAS-03,CAR-004,SHIP-00011109,OUTBOUND_SHIP,2025-11-04T02:12:00,2025-11-04T03:04:00,52,5,EMP-00020,2026-04-30T04:36:50.726872
DOCK-AS-01-16,WH-EAS-01,CAR-010,SHIP-00035100,INBOUND_RECEIVE,2025-10-07T12:32:57,2025-10-07T13:04:57,32,22,EMP-00124,2026-04-30T04:36:50.726872
DOCK-EN-10-03,WH-CEN-10,CAR-010,SHIP-00038942,INBOUND_RECEIVE,2025-10-18T14:54:02,2025-10-18T18:11:02,197,30,EMP-00116,2026-04-30T04:36:50.726872
DOCK-AS-02-21,WH-EAS-02,CAR-001,SHIP-00030427,OUTBOUND_SHIP,2026-02-10T01:38:10,2026-02-10T03:31:10,113,28,EMP-00054,2026-04-30T04:36:50.726872
DOCK-AS-03-09,WH-EAS-03,CAR-009,SHIP-00011554,INBOUND_RECEIVE,2026-04-25T14:09:43,2026-04-25T14:54:43,45,24,EMP-00186,2026-04-30T04:36:50.726872
DOCK-OR-04-11,WH-NOR-04,CAR-007,SHIP-00033966,RETURN_RECEIVE,2025-07-09T13:51:19,2025-07-09T17:32:19,221,14,EMP-00078,2026-04-30T04:36:50.726872
DOCK-AS-01-05,WH-EAS-01,CAR-003,SHIP-00005928,OUTBOUND_SHIP,2026-03-04T23:10:06,2026-03-05T01:17:06,127,32,EMP-00021,2026-04-30T04:36:50.726872
DOCK-AS-03-16,WH-EAS-03,CAR-006,SHIP-00028281,INBOUND_RECEIVE,2025-09-23T22:35:48,2025-09-23T23:45:48,70,16,EMP-00057,2026-04-30T04:36:50.726872
DOCK-AS-06-20,WH-EAS-06,CAR-002,SHIP-00003316,OUTBOUND_SHIP,2025-08-26T07:19:01,2025-08-26T08:40:01,81,11,EMP-00128,2026-04-30T04:36:50.726872
DOCK-OU-09-21,WH-SOU-09,CAR-007,SHIP-00006146,OUTBOUND_SHIP,2025-11-09T19:42:28,2025-11-09T21:11:28,89,27,EMP-00150,2026-04-30T04:36:50.726872
DOCK-EN-08-23,WH-CEN-08,CAR-007,SHIP-00011350,OUTBOUND_SHIP,2025-05-04T06:51:24,2025-05-04T10:51:24,240,32,EMP-00034,2026-04-30T04:36:50.726872
DOCK-AS-02-16,WH-EAS-02,CAR-003,SHIP-00004854,INBOUND_RECEIVE,2025-07-07T06:30:26,2025-07-07T07:27:26,57,10,EMP-00163,2026-04-30T04:36:50.726872
DOCK-OU-09-10,WH-SOU-09,CAR-010,SHIP-00008604,OUTBOUND_SHIP,2025-12-31T02:22:54,2025-12-31T03:30:54,68,34,EMP-00003,2026-04-30T04:36:50.726872
DOCK-EN-08-08,WH-CEN-08,CAR-003,SHIP-00015870,OUTBOUND_SHIP,2026-03-21T14:34:07,2026-03-21T16:23:07,109,4,EMP-00151,2026-04-30T04:36:50.726872
DOCK-OR-04-11,WH-NOR-04,CAR-008,SHIP-00002205,OUTBOUND_SHIP,2026-03-19T03:56:20,2026-03-19T06:29:20,153,4,EMP-00144,2026-04-30T04:36:50.726872
DOCK-AS-01-17,WH-EAS-01,CAR-001,SHIP-00006974,OUTBOUND_SHIP,2026-03-07T23:21:18,2026-03-08T02:32:18,191,17,EMP-00166,2026-04-30T04:36:50.726872
DOCK-EN-10-06,WH-CEN-10,CAR-003,SHIP-00001496,CROSS_DOCK,2025-07-10T13:39:37,2025-07-10T17:39:37,240,32,EMP-00172,2026-04-30T04:36:50.726872
DOCK-OR-04-05,WH-NOR-04,CAR-002,SHIP-00011611,INBOUND_RECEIVE,2026-01-19T17:59:51,2026-01-19T20:35:51,156,6,EMP-00015,2026-04-30T04:36:50.726872
DOCK-AS-03-04,WH-EAS-03,CAR-007,SHIP-00042401,INBOUND_RECEIVE,2025-11-11T06:32:39,2025-11-11T08:56:39,144,16,EMP-00187,2026-04-30T04:36:50.726872
DOCK-EN-08-19,WH-CEN-08,CAR-006,SHIP-00028229,INBOUND_RECEIVE,2026-02-04T18:32:41,2026-02-04T20:28:41,116,19,EMP-00087,2026-04-30T04:36:50.726872
DOCK-AS-02-04,WH-EAS-02,CAR-008,SHIP-00020746,OUTBOUND_SHIP,2026-01-25T21:36:37,2026-01-25T23:42:37,126,21,EMP-00163,2026-04-30T04:36:50.726872
DOCK-EN-10-19,WH-CEN-10,CAR-003,SHIP-00017115,INBOUND_RECEIVE,2025-05-03T18:18:22,2025-05-03T21:37:22,199,11,EMP-00199,2026-04-30T04:36:50.726872
DOCK-EN-10-16,WH-CEN-10,CAR-010,SHIP-00017446,OUTBOUND_SHIP,2025-11-17T11:00:29,2025-11-17T14:14:29,194,35,EMP-00036,2026-04-30T04:36:50.726872
DOCK-AS-06-22,WH-EAS-06,CAR-003,SHIP-00035950,INBOUND_RECEIVE,2026-04-10T13:49:45,2026-04-10T15:09:45,80,22,EMP-00095,2026-04-30T04:36:50.726872
DOCK-ES-07-03,WH-WES-07,CAR-004,SHIP-00038898,INBOUND_RECEIVE,2025-12-30T09:50:56,2025-12-30T12:09:56,139,18,EMP-00173,2026-04-30T04:36:50.726872
DOCK-EN-08-04,WH-CEN-08,CAR-006,SHIP-00002526,OUTBOUND_SHIP,2025-06-13T17:50:43,2025-06-13T18:32:43,42,29,EMP-00089,2026-04-30T04:36:50.726872
DOCK-OR-05-16,WH-NOR-05,CAR-007,SHIP-00012921,CROSS_DOCK,2026-04-24T19:37:48,2026-04-24T23:14:48,217,24,EMP-00091,2026-04-30T04:36:50.726872
DOCK-AS-02-14,WH-EAS-02,CAR-004,SHIP-00007515,OUTBOUND_SHIP,2025-08-18T02:23:44,2025-08-18T03:46:44,83,28,EMP-00094,2026-04-30T04:36:50.726872
DOCK-OU-09-09,WH-SOU-09,CAR-007,SHIP-00000145,OUTBOUND_SHIP,2026-03-26T00:23:44,2026-03-26T01:44:44,81,8,EMP-00003,2026-04-30T04:36:50.726872
DOCK-OU-09-16,WH-SOU-09,CAR-001,SHIP-00019311,INBOUND_RECEIVE,2026-03-22T14:51:50,2026-03-22T17:43:50,172,17,EMP-00197,2026-04-30T04:36:50.726872
DOCK-OR-04-21,WH-NOR-04,CAR-006,SHIP-00028766,OUTBOUND_SHIP,2025-10-03T00:58:24,2025-10-03T02:00:24,62,24,EMP-00112,2026-04-30T04:36:50.726872
DOCK-EN-10-03,WH-CEN-10,CAR-008,SHIP-00003967,INBOUND_RECEIVE,2025-06-06T08:09:42,2025-06-06T09:44:42,95,21,EMP-00068,2026-04-30T04:36:50.726872
DOCK-AS-02-16,WH-EAS-02,CAR-003,SHIP-00022702,OUTBOUND_SHIP,2025-06-23T11:07:25,2025-06-23T12:22:25,75,38,EMP-00143,2026-04-30T04:36:50.726872
DOCK-OR-04-20,WH-NOR-04,CAR-003,SHIP-00030306,OUTBOUND_SHIP,2025-06-17T08:30:33,2025-06-17T12:25:33,235,40,EMP-00092,2026-04-30T04:36:50.726872
