event_id,device_id,device_type,warehouse_id,zone,location_id,event_timestamp,speed_mph,battery_pct,temperature_f,carrying_sku,carrying_qty,event_type,_ingested_at
fd71e8f9-7db2-4e11-9a00-344da39ebd59,DEV-EN-10-010,dock_door,WH-CEN-10,RECEIVING,LOC-EN-10-D14-03,2026-03-31T03:25:06,0.0,12,44.1,SKU-00301,25,putaway,2026-04-30T04:36:50.726872
20ea99d2-63d6-49ec-bc27-1c42f723d810,DEV-AS-06-007,temp_sensor,WH-EAS-06,ZONE-A,LOC-AS-06-E23-02,2026-02-07T14:05:16,0.0,18,46.1,,0,moving,2026-04-30T04:36:50.726872
af0f1814-d61b-452c-8e2b-9ddc87bfea95,DEV-AS-03-000,temp_sensor,WH-EAS-03,ZONE-B,LOC-AS-03-M20-06,2026-04-19T20:44:24,0.0,12,49.0,SKU-00311,40,picking,2026-04-30T04:36:50.726872
bf308a47-3b7d-4f07-b2d9-98338024cbe2,DEV-OR-05-010,forklift,WH-NOR-05,ZONE-E,LOC-OR-05-I15-03,2026-04-25T16:07:31,6.6,68,44.4,,0,idle,2026-04-30T04:36:50.726872
6047d825-a997-4025-a1d3-d1292970df84,DEV-EN-10-002,conveyor_sensor,WH-CEN-10,ZONE-B,LOC-EN-10-P16-03,2026-02-03T12:16:25,0.0,52,68.1,SKU-00487,8,putaway,2026-04-30T04:36:50.726872
3243945c-f1ef-4dfd-997b-a068d5bc4e3f,DEV-OR-05-010,forklift,WH-NOR-05,RECEIVING,LOC-OR-05-H16-06,2026-03-17T08:41:07,0.6,15,54.6,SKU-00860,8,picking,2026-04-30T04:36:50.726872
0d8be773-6597-4687-bb1f-dd899a206ff8,DEV-ES-07-003,pallet_jack,WH-WES-07,RECEIVING,LOC-ES-07-M16-01,2026-02-18T21:55:22,0.0,34,53.1,,0,moving,2026-04-30T04:36:50.726872
67ad8d9c-05a6-4f80-acb8-cf52e1306483,DEV-OU-09-004,conveyor_sensor,WH-SOU-09,ZONE-D,LOC-OU-09-G08-02,2026-04-22T01:13:27,0.0,77,40.3,,0,moving,2026-04-30T04:36:50.726872
aaba19e1-38b9-4c28-8577-909c5131e52b,DEV-AS-02-003,temp_sensor,WH-EAS-02,ZONE-D,LOC-AS-02-M25-07,2026-03-10T20:40:14,0.0,67,51.7,,0,shipping,2026-04-30T04:36:50.726872
357bc0f9-24c4-4978-a1c8-560c696db354,DEV-EN-08-007,dock_door,WH-CEN-08,ZONE-C,LOC-EN-08-B07-01,2026-03-16T15:56:46,0.0,16,57.6,,0,moving,2026-04-30T04:36:50.726872
e288b28e-5fb5-459c-a467-ccf2af4b2a74,DEV-EN-10-017,conveyor_sensor,WH-CEN-10,SHIPPING,LOC-EN-10-H05-01,2026-04-08T09:31:52,0.0,22,77.9,,0,idle,2026-04-30T04:36:50.726872
bc6be29a-457d-4282-8164-3e7abd6b0994,DEV-EN-10-013,dock_door,WH-CEN-10,ZONE-A,LOC-EN-10-B15-06,2026-04-07T14:57:16,0.0,78,59.4,,0,receiving,2026-04-30T04:36:50.726872
d05bf5b3-8a11-4b8e-9629-3c23541d139b,DEV-OR-04-001,forklift,WH-NOR-04,RECEIVING,LOC-OR-04-H25-08,2026-04-13T09:26:30,4.3,22,55.4,SKU-00132,37,picking,2026-04-30T04:36:50.726872
00728fa5-f2b4-4743-93df-259dd0a8979b,DEV-AS-01-006,forklift,WH-EAS-01,ZONE-B,LOC-AS-01-G13-06,2026-03-19T06:47:27,7.6,67,36.5,,0,idle,2026-04-30T04:36:50.726872
bb79de6a-9f79-45be-91de-a66873d1d19c,DEV-AS-06-005,forklift,WH-EAS-06,ZONE-C,LOC-AS-06-E09-04,2026-03-06T09:48:38,2.4,22,39.8,,0,shipping,2026-04-30T04:36:50.726872
c635eca7-3f4a-43a2-96ca-17a5bfea7a9a,DEV-EN-10-003,temp_sensor,WH-CEN-10,ZONE-D,LOC-EN-10-D11-07,2026-03-12T00:33:01,0.0,28,71.3,,0,charging,2026-04-30T04:36:50.726872
5d6dd6db-4ab3-46bb-9bd1-b2ee24028b54,DEV-AS-02-006,dock_door,WH-EAS-02,ZONE-E,LOC-AS-02-L01-07,2026-04-29T17:59:43,0.0,41,56.4,SKU-00185,18,picking,2026-04-30T04:36:50.726872
