shift_id,employee_id,warehouse_id,shift_date,shift_type,zone_assigned,start_time,end_time,hours_worked,picks_completed,units_processed,_ingested_at
SHIFT-000000001,EMP-00186,WH-NOR-05,2025-10-15,NIGHT,ZONE-C,22:00:00,07:00:00,9.1,157,1393,2026-04-30T04:36:50.726872
SHIFT-000000002,EMP-00090,WH-EAS-03,2025-05-02,AFTERNOON,ZONE-B,14:00:00,00:00:00,10.0,339,905,2026-04-30T04:36:50.726872
SHIFT-000000003,EMP-00019,WH-WES-07,2025-10-02,MORNING,RECEIVING,06:00:00,15:00:00,9.5,221,480,2026-04-30T04:36:50.726872
SHIFT-000000004,EMP-00124,WH-EAS-02,2025-05-04,NIGHT,SHIPPING,22:00:00,07:00:00,9.8,76,950,2026-04-30T04:36:50.726872
SHIFT-000000005,EMP-00021,WH-SOU-09,2026-01-31,NIGHT,SHIPPING,22:00:00,07:00:00,9.9,161,179,2026-04-30T04:36:50.726872
SHIFT-000000006,EMP-00057,WH-EAS-01,2026-04-23,MORNING,SHIPPING,06:00:00,14:00:00,8.1,329,1409,2026-04-30T04:36:50.726872
SHIFT-000000007,EMP-00097,WH-CEN-10,2025-10-09,AFTERNOON,ZONE-E,14:00:00,23:00:00,9.1,189,234,2026-04-30T04:36:50.726872
SHIFT-000000008,EMP-00145,WH-EAS-01,2025-06-25,AFTERNOON,ZONE-A,14:00:00,00:00:00,10.0,62,579,2026-04-30T04:36:50.726872
SHIFT-000000009,EMP-00114,WH-EAS-03,2026-03-12,AFTERNOON,ZONE-D,14:00:00,23:00:00,9.0,249,495,2026-04-30T04:36:50.726872
SHIFT-000000010,EMP-00013,WH-EAS-01,2025-07-11,NIGHT,SHIPPING,22:00:00,06:00:00,8.2,311,812,2026-04-30T04:36:50.726872
SHIFT-000000011,EMP-00134,WH-SOU-09,2025-05-15,AFTERNOON,ZONE-D,14:00:00,22:00:00,8.2,301,908,2026-04-30T04:36:50.726872
