location_id,warehouse_id,zone,aisle,rack,bin,location_type,max_weight_lbs,max_volume_cuft,is_active,_ingested_at
LOC-OR-05-O07-05,WH-NOR-05,RECEIVING,O,07,05,HAZMAT,5000,48.0,True,2026-04-30T04:36:50.726872
LOC-AS-02-O06-08,WH-EAS-02,ZONE-A,O,06,08,BULK,2000,136.9,True,2026-04-30T04:36:50.726872
LOC-OU-09-J29-05,WH-SOU-09,SHIPPING,J,29,05,STANDARD,1000,160.8,True,2026-04-30T04:36:50.726872
LOC-AS-02-G26-03,WH-EAS-02,ZONE-B,G,26,03,BULK,500,78.6,True,2026-04-30T04:36:50.726872
LOC-EN-08-E20-02,WH-CEN-08,ZONE-A,E,20,02,STANDARD,5000,109.9,True,2026-04-30T04:36:50.726872
LOC-EN-10-C05-06,WH-CEN-10,RECEIVING,C,05,06,STANDARD,5000,139.2,True,2026-04-30T04:36:50.726872
LOC-OU-09-F25-03,WH-SOU-09,ZONE-D,F,25,03,STANDARD,500,168.0,True,2026-04-30T04:36:50.726872
LOC-OR-05-F06-06,WH-NOR-05,RECEIVING,F,06,06,STANDARD,2000,170.7,True,2026-04-30T04:36:50.726872
LOC-OU-09-I05-05,WH-SOU-09,ZONE-E,I,05,05,STANDARD,1000,122.4,True,2026-04-30T04:36:50.726872
LOC-AS-03-K27-01,WH-EAS-03,SHIPPING,K,27,01,COLD,500,18.6,True,2026-04-30T04:36:50.726872
LOC-EN-10-I21-04,WH-CEN-10,SHIPPING,I,21,04,STANDARD,500,104.6,True,2026-04-30T04:36:50.726872
LOC-OR-05-J16-04,WH-NOR-05,SHIPPING,J,16,04,BULK,5000,66.5,True,2026-04-30T04:36:50.726872
LOC-AS-01-F15-07,WH-EAS-01,ZONE-D,F,15,07,STANDARD,2000,125.3,True,2026-04-30T04:36:50.726872
LOC-AS-06-L13-03,WH-EAS-06,SHIPPING,L,13,03,STANDARD,500,70.6,True,2026-04-30T04:36:50.726872
LOC-OR-05-O08-03,WH-NOR-05,ZONE-A,O,08,03,STANDARD,5000,174.2,True,2026-04-30T04:36:50.726872
LOC-AS-03-K30-06,WH-EAS-03,ZONE-B,K,30,06,BULK,5000,199.2,True,2026-04-30T04:36:50.726872
LOC-OR-05-P01-02,WH-NOR-05,ZONE-D,P,01,02,STANDARD,1000,50.9,True,2026-04-30T04:36:50.726872
LOC-AS-01-J16-08,WH-EAS-01,ZONE-C,J,16,08,STANDARD,500,91.9,True,2026-04-30T04:36:50.726872
LOC-AS-06-M12-01,WH-EAS-06,ZONE-D,M,12,01,STANDARD,1000,78.9,True,2026-04-30T04:36:50.726872
LOC-ES-07-O25-05,WH-WES-07,SHIPPING,O,25,05,OVERSIZE,500,34.4,True,2026-04-30T04:36:50.726872
LOC-AS-06-K18-06,WH-EAS-06,SHIPPING,K,18,06,STANDARD,5000,105.0,True,2026-04-30T04:36:50.726872
LOC-AS-03-K26-08,WH-EAS-03,ZONE-E,K,26,08,STANDARD,1000,72.3,True,2026-04-30T04:36:50.726872
LOC-AS-03-M20-05,WH-EAS-03,ZONE-E,M,20,05,STANDARD,5000,144.7,True,2026-04-30T04:36:50.726872
LOC-AS-01-L11-02,WH-EAS-01,ZONE-D,L,11,02,STANDARD,500,123.4,True,2026-04-30T04:36:50.726872
LOC-EN-10-H24-01,WH-CEN-10,ZONE-E,H,24,01,STANDARD,5000,38.1,True,2026-04-30T04:36:50.726872
LOC-AS-01-D07-01,WH-EAS-01,ZONE-D,D,07,01,STANDARD,1000,88.5,True,2026-04-30T04:36:50.726872
LOC-OU-09-P28-01,WH-SOU-09,RECEIVING,P,28,01,STANDARD,1000,116.6,False,2026-04-30T04:36:50.726872
LOC-EN-08-M11-03,WH-CEN-08,ZONE-D,M,11,03,HAZMAT,2000,113.8,True,2026-04-30T04:36:50.726872
LOC-OR-05-P07-04,WH-NOR-05,ZONE-C,P,07,04,STANDARD,1000,188.9,False,2026-04-30T04:36:50.726872
LOC-OR-05-G23-08,WH-NOR-05,ZONE-C,G,23,08,STANDARD,2000,64.7,True,2026-04-30T04:36:50.726872
LOC-OU-09-M29-07,WH-SOU-09,SHIPPING,M,29,07,STANDARD,1000,65.2,True,2026-04-30T04:36:50.726872
LOC-AS-02-L30-08,WH-EAS-02,RECEIVING,L,30,08,STANDARD,5000,50.7,True,2026-04-30T04:36:50.726872
LOC-OR-05-I05-02,WH-NOR-05,ZONE-E,I,05,02,BULK,1000,56.1,True,2026-04-30T04:36:50.726872
LOC-OU-09-H21-04,WH-SOU-09,ZONE-A,H,21,04,STANDARD,2000,146.3,True,2026-04-30T04:36:50.726872
LOC-AS-03-A18-03,WH-EAS-03,ZONE-D,A,18,03,STANDARD,5000,100.7,True,2026-04-30T04:36:50.726872
LOC-OR-05-K10-01,WH-NOR-05,SHIPPING,K,10,01,STANDARD,1000,111.7,True,2026-04-30T04:36:50.726872
LOC-AS-01-F14-03,WH-EAS-01,ZONE-A,F,14,03,OVERSIZE,5000,159.7,True,2026-04-30T04:36:50.726872
LOC-OR-05-B01-05,WH-NOR-05,ZONE-E,B,01,05,STANDARD,2000,64.1,False,2026-04-30T04:36:50.726872
LOC-OU-09-P29-03,WH-SOU-09,SHIPPING,P,29,03,STANDARD,2000,46.6,True,2026-04-30T04:36:50.726872
LOC-AS-03-O21-05,WH-EAS-03,RECEIVING,O,21,05,STANDARD,2000,160.2,True,2026-04-30T04:36:50.726872
LOC-OR-04-F20-07,WH-NOR-04,SHIPPING,F,20,07,STANDARD,2000,26.5,True,2026-04-30T04:36:50.726872
LOC-AS-03-E16-06,WH-EAS-03,ZONE-B,E,16,06,STANDARD,5000,54.7,True,2026-04-30T04:36:50.726872
LOC-AS-06-J19-01,WH-EAS-06,ZONE-C,J,19,01,STANDARD,1000,21.8,True,2026-04-30T04:36:50.726872
LOC-OR-05-F13-05,WH-NOR-05,RECEIVING,F,13,05,STANDARD,2000,79.8,True,2026-04-30T04:36:50.726872
LOC-AS-03-P05-08,WH-EAS-03,RECEIVING,P,05,08,OVERSIZE,2000,89.0,True,2026-04-30T04:36:50.726872
LOC-EN-08-G25-04,WH-CEN-08,RECEIVING,G,25,04,BULK,500,109.8,True,2026-04-30T04:36:50.726872
LOC-AS-06-C30-02,WH-EAS-06,ZONE-A,C,30,02,BULK,1000,118.8,True,2026-04-30T04:36:50.726872
LOC-AS-06-O04-04,WH-EAS-06,RECEIVING,O,04,04,STANDARD,500,180.8,True,2026-04-30T04:36:50.726872
LOC-AS-01-O05-07,WH-EAS-01,ZONE-D,O,05,07,STANDARD,5000,137.8,True,2026-04-30T04:36:50.726872
