line_id,order_id,sku,qty_ordered,qty_fulfilled,qty_backordered,unit_price,line_value,is_backordered,fulfilled_date,_ingested_at
LINE-0000000001,ORD-00000001,SKU-00356,4,4,0,1289.61,5158.44,False,2024-05-22,2026-04-30T04:36:50.726872
LINE-0000000002,ORD-00000001,SKU-00690,18,18,0,535.23,9634.14,False,2024-05-23,2026-04-30T04:36:50.726872
LINE-0000000003,ORD-00000001,SKU-00325,29,29,0,762.37,22108.73,False,2024-05-23,2026-04-30T04:36:50.726872
LINE-0000000004,ORD-00000002,SKU-00601,18,18,0,28.93,520.74,False,2024-08-15,2026-04-30T04:36:50.726872
LINE-0000000005,ORD-00000003,SKU-00153,4,4,0,1016.03,4064.12,False,2026-02-13,2026-04-30T04:36:50.726872
LINE-0000000006,ORD-00000004,SKU-00975,17,17,0,752.0,12784.0,False,2025-02-19,2026-04-30T04:36:50.726872
LINE-0000000007,ORD-00000004,SKU-00976,29,29,0,104.3,3024.7,False,2025-02-17,2026-04-30T04:36:50.726872
LINE-0000000008,ORD-00000005,SKU-00233,22,22,0,644.77,14184.94,False,2025-09-21,2026-04-30T04:36:50.726872
LINE-0000000009,ORD-00000005,SKU-00352,10,10,0,767.36,7673.6,False,2025-09-19,2026-04-30T04:36:50.726872
LINE-0000000010,ORD-00000005,SKU-00477,26,26,0,945.71,24588.46,False,2025-09-19,2026-04-30T04:36:50.726872
LINE-0000000011,ORD-00000006,SKU-00026,4,4,0,654.33,2617.32,False,2024-12-05,2026-04-30T04:36:50.726872
LINE-0000000012,ORD-00000006,SKU-00861,14,14,0,641.92,8986.88,False,2024-12-06,2026-04-30T04:36:50.726872
LINE-0000000013,ORD-00000006,SKU-00615,14,14,0,1312.37,18373.18,False,2024-12-06,2026-04-30T04:36:50.726872
LINE-0000000014,ORD-00000007,SKU-00164,50,50,0,531.69,26584.5,False,2026-03-15,2026-04-30T04:36:50.726872
LINE-0000000015,ORD-00000007,SKU-00237,30,30,0,1191.02,35730.6,False,2026-03-12,2026-04-30T04:36:50.726872
LINE-0000000016,ORD-00000007,SKU-00510,44,44,0,697.02,30668.88,False,2026-03-13,2026-04-30T04:36:50.726872
LINE-0000000017,ORD-00000008,SKU-00716,46,46,0,722.52,33235.92,False,2025-12-14,2026-04-30T04:36:50.726872
LINE-0000000018,ORD-00000008,SKU-00557,45,45,0,1388.78,62495.1,False,2025-12-15,2026-04-30T04:36:50.726872
LINE-0000000019,ORD-00000008,SKU-00671,14,14,0,739.72,10356.08,False,2025-12-14,2026-04-30T04:36:50.726872
LINE-0000000020,ORD-00000008,SKU-00210,48,48,0,98.56,4730.88,False,2025-12-16,2026-04-30T04:36:50.726872
LINE-0000000021,ORD-00000009,SKU-00527,14,14,0,759.24,10629.36,False,2024-07-01,2026-04-30T04:36:50.726872
LINE-0000000022,ORD-00000009,SKU-00409,41,41,0,567.38,23262.58,False,2024-06-29,2026-04-30T04:36:50.726872
LINE-0000000023,ORD-00000009,SKU-00131,24,24,0,993.98,23855.52,False,2024-07-03,2026-04-30T04:36:50.726872
LINE-0000000024,ORD-00000009,SKU-00641,1,1,0,794.62,794.62,False,2024-06-30,2026-04-30T04:36:50.726872
LINE-0000000025,ORD-00000009,SKU-00451,7,7,0,1040.55,7283.85,False,2024-07-01,2026-04-30T04:36:50.726872
