sku,product_name,description,category,subcategory,brand,unit_cost,unit_price,weight_kg,length_cm,width_cm,height_cm,is_hazmat,is_perishable,reorder_point,reorder_qty,lead_time_days,_ingested_at
SKU-00001,Quality-focused optimal algorithm,Fund little fine art manager carry western.,Industrial,Order,Johnson,204.76,318.93,18.46,87.5,79.0,17.4,False,False,83,103,43,2026-04-30T04:36:50.726872
SKU-00002,Extended reciprocal Local Area Network,Couple single pressure commercial behavior daughter spend not.,Sporting Goods,Six,"Kennedy,",429.22,1100.06,12.47,108.2,75.6,49.4,False,False,89,268,4,2026-04-30T04:36:50.726872
SKU-00003,Digitized contextually-based capability,Sound effect thank report evidence imagine born.,Automotive,Mission,Hudson,204.58,357.0,38.54,31.0,77.1,41.5,True,False,185,798,8,2026-04-30T04:36:50.726872
SKU-00004,Cloned methodical ability,Either each approach within stay service fall skill total contain certain possible address garden.,Sporting Goods,Difficult,"Nelson,",223.81,693.67,46.0,21.3,14.0,23.4,False,False,152,337,21,2026-04-30T04:36:50.726872
SKU-00005,Synchronized upward-trending adapter,Even score land successful third heart against purpose inside personal firm different candidate important prepare owner.,Office Supplies,First,"Grant,",71.65,221.05,32.93,90.0,18.2,53.6,False,False,78,914,44,2026-04-30T04:36:50.726872
SKU-00006,Future-proofed grid-enabled solution,Once go him capital blood property floor us ok success color involve.,Medical,Up,Holder-Warner,293.24,398.62,24.91,78.9,17.3,39.6,False,True,145,470,22,2026-04-30T04:36:50.726872
SKU-00007,Upgradable real-time website,Those effort new social traditional message instead degree here arrive act moment find else memory.,Apparel,During,Nicholson-Grant,394.08,689.94,22.29,57.1,48.3,25.2,False,False,129,53,8,2026-04-30T04:36:50.726872
SKU-00008,Cross-group non-volatile budgetary management,Allow factor suffer candidate join analysis idea say shake value shoulder wall cut part room.,Electronics,Care,Floyd,126.48,341.85,2.43,92.8,57.5,49.3,False,False,26,75,24,2026-04-30T04:36:50.726872
SKU-00009,Grass-roots needs-based flexibility,Join last week mean bring off month five it challenge talk collection young current risk.,Sporting Goods,Rich,"Hernandez,",147.48,402.79,2.38,7.9,16.4,51.7,False,False,89,240,21,2026-04-30T04:36:50.726872
SKU-00010,Adaptive demand-driven task-force,Ability again nature heavy soldier season yes law order partner.,Food & Beverage,About,"Meyer,",209.21,317.96,1.42,39.6,77.6,42.2,False,False,111,591,41,2026-04-30T04:36:50.726872
SKU-00011,Cross-group bottom-line extranet,Image able often task begin nothing scientist charge dog.,Medical,Reveal,Harris-Bryant,312.82,1090.26,45.43,27.8,19.9,38.1,False,False,110,230,2,2026-04-30T04:36:50.726872
