po_id,supplier_id,warehouse_id,sku,qty_ordered,unit_cost,total_cost,po_date,expected_delivery,actual_delivery,status,is_on_time,_ingested_at
PO-00000001,SUP-0063,WH-EAS-02,SKU-00927,356,400.2,142471.2,2026-02-22,2026-04-04,2026-04-09,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000002,SUP-0047,WH-CEN-10,SKU-00944,335,236.86,79348.1,2026-04-27,2026-06-21,2026-06-22,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000003,SUP-0012,WH-CEN-10,SKU-00483,1538,296.07,455355.66,2025-08-02,2025-09-12,,SUBMITTED,,2026-04-30T04:36:50.726872
PO-00000004,SUP-0079,WH-EAS-02,SKU-00017,266,305.48,81257.68,2025-04-30,2025-06-19,2025-06-24,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000005,SUP-0068,WH-CEN-10,SKU-00498,1137,134.37,152778.69,2025-11-19,2025-12-13,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000006,SUP-0044,WH-SOU-09,SKU-00625,473,362.02,171235.46,2025-11-30,2026-01-15,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000007,SUP-0020,WH-CEN-10,SKU-00387,1043,355.63,370922.09,2025-05-30,2025-06-09,2025-06-15,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000008,SUP-0001,WH-CEN-08,SKU-00222,1724,26.13,45048.12,2026-01-07,2026-03-07,,DRAFT,,2026-04-30T04:36:50.726872
PO-00000009,SUP-0012,WH-CEN-10,SKU-00434,306,425.29,130138.74,2025-06-22,2025-08-19,2025-08-17,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000010,SUP-0008,WH-CEN-08,SKU-00002,1924,429.22,825819.28,2025-08-30,2025-09-08,2025-09-16,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000011,SUP-0072,WH-EAS-03,SKU-00013,1591,409.43,651403.13,2025-11-11,2025-12-21,2025-12-18,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000012,SUP-0075,WH-WES-07,SKU-00110,746,256.91,191654.86,2026-01-29,2026-03-10,,CONFIRMED,,2026-04-30T04:36:50.726872
PO-00000013,SUP-0037,WH-CEN-10,SKU-00068,595,407.53,242480.35,2025-10-29,2025-11-01,,CONFIRMED,,2026-04-30T04:36:50.726872
PO-00000014,SUP-0060,WH-EAS-02,SKU-00931,1457,67.58,98464.06,2025-12-03,2025-12-29,2025-12-26,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000015,SUP-0074,WH-WES-07,SKU-00920,1333,251.45,335182.85,2025-12-30,2026-01-25,2026-01-24,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000016,SUP-0012,WH-EAS-01,SKU-00957,500,79.7,39850.0,2025-08-28,2025-09-04,,DRAFT,,2026-04-30T04:36:50.726872
PO-00000017,SUP-0067,WH-CEN-08,SKU-00773,667,218.46,145712.82,2025-12-12,2026-01-12,2026-01-15,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000018,SUP-0062,WH-EAS-01,SKU-00892,144,152.56,21968.64,2026-03-23,2026-04-03,2026-04-03,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000019,SUP-0041,WH-EAS-03,SKU-00541,397,366.64,145556.08,2025-10-01,2025-10-14,,CONFIRMED,,2026-04-30T04:36:50.726872
PO-00000020,SUP-0033,WH-EAS-06,SKU-00674,634,46.3,29354.2,2026-03-12,2026-03-28,,SUBMITTED,,2026-04-30T04:36:50.726872
PO-00000021,SUP-0032,WH-EAS-03,SKU-00713,1244,415.61,517018.84,2025-06-20,2025-08-06,,DRAFT,,2026-04-30T04:36:50.726872
PO-00000022,SUP-0056,WH-WES-07,SKU-00805,1176,232.21,273078.96,2025-09-15,2025-10-13,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000023,SUP-0058,WH-EAS-03,SKU-00828,562,407.17,228829.54,2026-02-02,2026-03-31,2026-04-09,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000024,SUP-0044,WH-EAS-03,SKU-00893,625,219.43,137143.75,2026-04-02,2026-05-26,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000025,SUP-0073,WH-NOR-04,SKU-00059,135,22.43,3028.05,2026-04-10,2026-05-17,2026-05-25,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000026,SUP-0079,WH-CEN-08,SKU-00570,1467,298.5,437899.5,2026-03-27,2026-05-26,,CANCELLED,,2026-04-30T04:36:50.726872
PO-00000027,SUP-0007,WH-WES-07,SKU-00046,766,255.61,195797.26,2026-03-11,2026-03-25,2026-03-30,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000028,SUP-0036,WH-EAS-02,SKU-00644,483,359.65,173710.95,2026-02-10,2026-03-30,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000029,SUP-0034,WH-WES-07,SKU-00990,93,78.93,7340.49,2026-03-10,2026-04-25,,SUBMITTED,,2026-04-30T04:36:50.726872
PO-00000030,SUP-0002,WH-WES-07,SKU-00873,1223,330.11,403724.53,2025-10-19,2025-12-15,2025-12-16,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000031,SUP-0032,WH-WES-07,SKU-00203,617,137.53,84856.01,2025-10-07,2025-11-28,2025-12-01,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000032,SUP-0040,WH-NOR-04,SKU-00438,1996,128.62,256725.52,2026-01-02,2026-02-03,2026-02-02,RECEIVED,True,2026-04-30T04:36:50.726872
PO-00000033,SUP-0029,WH-SOU-09,SKU-00240,428,225.67,96586.76,2026-02-26,2026-03-31,2026-04-01,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000034,SUP-0051,WH-WES-07,SKU-00199,362,117.87,42668.94,2025-07-15,2025-08-30,2025-09-06,RECEIVED,False,2026-04-30T04:36:50.726872
PO-00000035,SUP-0029,WH-EAS-03,SKU-00046,294,255.61,75149.34,2026-01-14,2026-02-21,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000036,SUP-0067,WH-SOU-09,SKU-00398,1592,399.98,636768.16,2025-05-16,2025-07-06,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000037,SUP-0044,WH-CEN-10,SKU-00840,149,4.62,688.38,2025-11-12,2026-01-08,,IN_TRANSIT,,2026-04-30T04:36:50.726872
PO-00000038,SUP-0025,WH-WES-07,SKU-00580,1847,301.91,557627.77,2025-11-14,2025-12-12,,CANCELLED,,2026-04-30T04:36:50.726872
