return_id,order_id,sku,qty_returned,return_date,reason_code,condition,refund_amount,restock_date,disposition,_ingested_at
RET-00000001,ORD-00043807,SKU-00948,2,2025-09-09,NOT_AS_DESCRIBED,NEW,242.44,2025-09-13,REFURBISH,2026-04-30T04:36:50.726872
RET-00000002,ORD-00004816,SKU-00548,5,2025-05-09,DAMAGED_TRANSIT,FAIR,2385.7,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000003,ORD-00015520,SKU-00586,1,2025-05-24,NOT_AS_DESCRIBED,NEW,88.02,2025-05-29,RESTOCK,2026-04-30T04:36:50.726872
RET-00000004,ORD-00000053,SKU-00795,1,2025-07-21,ARRIVED_LATE,FAIR,25.74,,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000005,ORD-00015699,SKU-00950,2,2025-08-19,DAMAGED_TRANSIT,FAIR,2185.84,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000006,ORD-00042827,SKU-00428,4,2026-02-06,ARRIVED_LATE,GOOD,459.28,2026-02-10,DESTROY,2026-04-30T04:36:50.726872
RET-00000007,ORD-00047373,SKU-00164,3,2025-10-19,DAMAGED_TRANSIT,DAMAGED,1595.07,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000008,ORD-00046474,SKU-00157,4,2026-01-03,NOT_AS_DESCRIBED,GOOD,95.56,2026-01-04,RESTOCK,2026-04-30T04:36:50.726872
RET-00000009,ORD-00004305,SKU-00981,5,2025-07-07,WRONG_ITEM,GOOD,3326.35,2025-07-08,REFURBISH,2026-04-30T04:36:50.726872
RET-00000010,ORD-00049070,SKU-00686,4,2025-08-31,ARRIVED_LATE,NEW,4672.88,2025-09-01,RESTOCK,2026-04-30T04:36:50.726872
RET-00000011,ORD-00024304,SKU-00923,5,2025-10-25,NOT_AS_DESCRIBED,GOOD,1115.05,2025-10-26,RESTOCK,2026-04-30T04:36:50.726872
RET-00000012,ORD-00031654,SKU-00418,1,2026-02-08,WRONG_ITEM,FAIR,131.49,,REFURBISH,2026-04-30T04:36:50.726872
RET-00000013,ORD-00009056,SKU-00506,4,2025-10-01,DAMAGED_TRANSIT,DAMAGED,4294.04,,REFURBISH,2026-04-30T04:36:50.726872
RET-00000014,ORD-00034235,SKU-00328,3,2025-09-19,WRONG_ITEM,GOOD,687.93,2025-09-22,RESTOCK,2026-04-30T04:36:50.726872
RET-00000015,ORD-00048191,SKU-00564,3,2025-06-28,DAMAGED_TRANSIT,GOOD,1822.47,2025-07-01,DONATE,2026-04-30T04:36:50.726872
RET-00000016,ORD-00043342,SKU-00192,2,2025-06-14,DUPLICATE_ORDER,GOOD,296.3,2025-06-16,RESTOCK,2026-04-30T04:36:50.726872
RET-00000017,ORD-00004390,SKU-00722,2,2025-09-24,DUPLICATE_ORDER,FAIR,285.74,,REFURBISH,2026-04-30T04:36:50.726872
RET-00000018,ORD-00021403,SKU-00221,3,2025-08-11,DEFECTIVE,LIKE_NEW,1513.95,2025-08-13,DESTROY,2026-04-30T04:36:50.726872
RET-00000019,ORD-00037609,SKU-00316,4,2025-06-10,NOT_AS_DESCRIBED,FAIR,1683.08,,REFURBISH,2026-04-30T04:36:50.726872
RET-00000020,ORD-00035252,SKU-00935,5,2026-02-28,DAMAGED_TRANSIT,NEW,148.4,2026-03-07,RESTOCK,2026-04-30T04:36:50.726872
RET-00000021,ORD-00019602,SKU-00072,2,2025-09-30,DEFECTIVE,LIKE_NEW,1156.94,2025-10-04,RESTOCK,2026-04-30T04:36:50.726872
RET-00000022,ORD-00004484,SKU-00558,5,2025-09-02,NOT_AS_DESCRIBED,GOOD,4321.9,2025-09-05,RESTOCK,2026-04-30T04:36:50.726872
RET-00000023,ORD-00018168,SKU-00266,4,2025-07-02,CHANGED_MIND,DAMAGED,2899.84,,DESTROY,2026-04-30T04:36:50.726872
RET-00000024,ORD-00036415,SKU-00964,2,2026-01-07,DEFECTIVE,FAIR,1278.74,,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000025,ORD-00020510,SKU-00223,2,2026-03-09,CHANGED_MIND,DAMAGED,1537.62,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000026,ORD-00042157,SKU-00186,3,2026-01-29,ARRIVED_LATE,NEW,472.59,2026-02-03,RESTOCK,2026-04-30T04:36:50.726872
RET-00000027,ORD-00030282,SKU-00089,5,2025-11-08,NOT_AS_DESCRIBED,UNSELLABLE,1163.2,,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000028,ORD-00037317,SKU-00210,2,2025-10-16,NOT_AS_DESCRIBED,UNSELLABLE,197.12,,REFURBISH,2026-04-30T04:36:50.726872
RET-00000029,ORD-00036644,SKU-00691,1,2026-04-01,DUPLICATE_ORDER,DAMAGED,475.68,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000030,ORD-00044758,SKU-00089,5,2026-01-19,DAMAGED_TRANSIT,UNSELLABLE,1163.2,,DESTROY,2026-04-30T04:36:50.726872
RET-00000031,ORD-00048010,SKU-00935,3,2026-04-04,DUPLICATE_ORDER,GOOD,89.04,2026-04-10,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000032,ORD-00033768,SKU-00499,3,2025-09-05,NOT_AS_DESCRIBED,DAMAGED,126.51,,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000033,ORD-00022885,SKU-00266,5,2025-06-17,NOT_AS_DESCRIBED,GOOD,3624.8,2025-06-23,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000034,ORD-00022612,SKU-00010,5,2025-12-08,DAMAGED_TRANSIT,FAIR,1589.8,,REFURBISH,2026-04-30T04:36:50.726872
RET-00000035,ORD-00002124,SKU-00580,2,2025-09-26,WRONG_ITEM,GOOD,758.32,2025-10-03,RETURN_TO_VENDOR,2026-04-30T04:36:50.726872
RET-00000036,ORD-00004862,SKU-00169,1,2026-01-26,CHANGED_MIND,UNSELLABLE,1137.73,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000037,ORD-00002848,SKU-00483,5,2025-11-03,NOT_AS_DESCRIBED,LIKE_NEW,5038.0,2025-11-09,REFURBISH,2026-04-30T04:36:50.726872
RET-00000038,ORD-00042933,SKU-00074,5,2025-12-04,DEFECTIVE,LIKE_NEW,383.05,2025-12-05,RESTOCK,2026-04-30T04:36:50.726872
RET-00000039,ORD-00000872,SKU-00651,4,2025-12-22,DEFECTIVE,FAIR,4545.48,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000040,ORD-00035068,SKU-00755,5,2025-09-14,DUPLICATE_ORDER,DAMAGED,506.9,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000041,ORD-00005513,SKU-00671,3,2025-06-30,WRONG_ITEM,GOOD,2219.16,2025-07-02,RESTOCK,2026-04-30T04:36:50.726872
RET-00000042,ORD-00025224,SKU-00578,5,2025-06-27,DUPLICATE_ORDER,DAMAGED,7024.15,,RESTOCK,2026-04-30T04:36:50.726872
RET-00000043,ORD-00041683,SKU-00169,4,2025-05-18,DUPLICATE_ORDER,NEW,4550.92,2025-05-22,RESTOCK,2026-04-30T04:36:50.726872
RET-00000044,ORD-00048465,SKU-00671,4,2025-11-28,DUPLICATE_ORDER,LIKE_NEW,2958.88,2025-12-01,DESTROY,2026-04-30T04:36:50.726872
RET-00000045,ORD-00044314,SKU-00567,2,2026-04-21,DUPLICATE_ORDER,LIKE_NEW,1698.44,2026-04-24,RESTOCK,2026-04-30T04:36:50.726872
