shipment_id,order_id,carrier_id,tracking_number,ship_date,estimated_delivery,actual_delivery,status,weight_lbs,shipping_cost,is_on_time,num_packages,origin_warehouse_id,_ingested_at
SHIP-00000001,ORD-00000001,CAR-010,1Z295161011420248,2024-05-21,2024-05-24,2024-05-24,DELIVERED,86.7,127.68,True,2,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00000002,ORD-00000004,CAR-010,1Z019311094758812,2025-02-19,2025-02-25,2025-02-25,DELIVERED,80.3,98.06,True,7,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00000003,ORD-00000005,CAR-010,1Z282805376759144,2025-09-16,2025-09-23,2025-09-23,DELIVERED,23.9,31.42,True,9,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00000004,ORD-00000006,CAR-002,1Z767245126614138,2024-12-03,2024-12-07,2024-12-07,DELIVERED,37.9,32.9,True,1,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00000005,ORD-00000007,CAR-003,1Z612157066602529,2026-03-11,2026-03-15,2026-03-16,DELIVERED,110.6,211.36,False,8,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00000006,ORD-00000008,CAR-002,1Z566090213763040,2025-12-15,2025-12-18,,SHIPPED,105.6,82.99,True,8,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00000007,ORD-00000009,CAR-001,1Z461544235062416,2024-06-30,2024-07-06,2024-07-06,DELIVERED,90.3,216.88,True,8,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00000008,ORD-00000010,CAR-009,1Z528633827690069,2025-04-07,2025-04-14,2025-04-14,DELIVERED,28.6,56.2,True,6,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00000009,ORD-00000011,CAR-008,1Z042449770575913,2024-08-09,2024-08-15,2024-08-15,DELIVERED,115.7,196.76,True,2,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00000010,ORD-00000012,CAR-007,1Z311292399987465,2025-07-08,2025-07-09,2025-07-09,DELIVERED,81.3,136.96,True,3,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00000011,ORD-00000013,CAR-003,1Z541101321091202,2025-08-13,2025-08-17,,SHIPPED,99.4,182.2,True,1,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00000012,ORD-00000014,CAR-004,1Z869999983845839,2025-01-29,2025-01-30,2025-02-03,DELIVERED,84.2,100.3,False,3,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00000013,ORD-00000016,CAR-010,1Z701524476190055,2025-06-10,2025-06-15,2025-06-15,DELIVERED,118.9,96.39,True,8,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00000014,ORD-00000018,CAR-008,1Z434280042704128,2025-05-18,2025-05-21,2025-05-21,DELIVERED,84.8,188.19,True,10,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00000015,ORD-00000019,CAR-003,1Z873086181924514,2024-07-17,2024-07-20,2024-07-20,DELIVERED,88.3,182.63,True,2,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00000016,ORD-00000020,CAR-007,1Z953688637612576,2024-07-03,2024-07-08,,SHIPPED,105.4,147.25,True,4,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00000017,ORD-00000021,CAR-010,1Z019749471037772,2024-05-20,2024-05-27,2024-05-27,DELIVERED,16.7,13.08,True,6,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00000018,ORD-00000022,CAR-003,1Z376869612396239,2026-04-27,2026-04-30,2026-05-02,DELIVERED,37.1,65.22,False,9,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00000019,ORD-00000023,CAR-004,1Z559204697850314,2026-02-26,2026-02-27,2026-02-27,DELIVERED,4.7,7.51,True,10,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00000020,ORD-00000025,CAR-007,1Z135707175338481,2024-05-29,2024-06-04,2024-06-04,DELIVERED,33.5,68.9,True,8,WH-SOU-09,2026-04-30T04:36:50.726872
