perf_id,supplier_id,period_month,period_year,total_pos,on_time_deliveries,on_time_rate,fill_rate,defect_rate,avg_lead_days,score,_ingested_at
SPERF-00000001,SUP-0001,1,2023,7,6,0.984,0.985,0.0453,53,87.51,2026-04-30T04:36:50.726872
SPERF-00000002,SUP-0001,2,2023,67,54,0.809,0.808,0.0291,23,78.36,2026-04-30T04:36:50.726872
SPERF-00000003,SUP-0001,3,2023,68,53,0.792,0.963,0.0201,35,85.36,2026-04-30T04:36:50.726872
SPERF-00000004,SUP-0001,4,2023,46,40,0.885,0.963,0.0022,49,93.55,2026-04-30T04:36:50.726872
SPERF-00000005,SUP-0001,5,2023,75,58,0.783,0.92,0.0141,22,85.0,2026-04-30T04:36:50.726872
SPERF-00000006,SUP-0001,6,2023,32,24,0.759,0.899,0.0028,13,86.12,2026-04-30T04:36:50.726872
SPERF-00000007,SUP-0001,7,2023,12,10,0.912,0.952,0.0043,16,93.73,2026-04-30T04:36:50.726872
SPERF-00000008,SUP-0001,8,2023,70,61,0.881,0.825,0.0369,21,79.89,2026-04-30T04:36:50.726872
SPERF-00000009,SUP-0001,9,2023,44,37,0.861,0.965,0.0135,39,89.84,2026-04-30T04:36:50.726872
SPERF-00000010,SUP-0001,10,2023,9,6,0.719,0.915,0.0454,51,74.44,2026-04-30T04:36:50.726872
SPERF-00000011,SUP-0001,11,2023,24,22,0.941,0.914,0.0457,43,83.2,2026-04-30T04:36:50.726872
SPERF-00000012,SUP-0001,12,2023,20,17,0.862,0.91,0.0267,51,84.66,2026-04-30T04:36:50.726872
SPERF-00000013,SUP-0001,1,2024,28,26,0.956,0.983,0.0108,13,94.94,2026-04-30T04:36:50.726872
SPERF-00000014,SUP-0001,2,2024,66,64,0.983,0.897,0.0189,51,90.99,2026-04-30T04:36:50.726872
SPERF-00000015,SUP-0001,3,2024,8,6,0.816,0.916,0.0168,4,85.5,2026-04-30T04:36:50.726872
SPERF-00000016,SUP-0001,4,2024,27,20,0.772,0.962,0.0015,39,89.18,2026-04-30T04:36:50.726872
SPERF-00000017,SUP-0001,5,2024,54,49,0.916,0.835,0.0401,60,80.84,2026-04-30T04:36:50.726872
SPERF-00000018,SUP-0001,6,2024,60,55,0.917,0.921,0.025,47,87.66,2026-04-30T04:36:50.726872
SPERF-00000019,SUP-0001,7,2024,44,35,0.817,0.809,0.0302,29,78.45,2026-04-30T04:36:50.726872
SPERF-00000020,SUP-0001,8,2024,74,65,0.89,0.974,0.018,33,90.19,2026-04-30T04:36:50.726872
SPERF-00000021,SUP-0001,9,2024,65,61,0.946,0.95,0.0494,42,83.74,2026-04-30T04:36:50.726872
SPERF-00000022,SUP-0001,10,2024,21,19,0.93,0.961,0.0261,50,89.31,2026-04-30T04:36:50.726872
SPERF-00000023,SUP-0001,11,2024,7,6,0.944,0.974,0.0163,24,92.77,2026-04-30T04:36:50.726872
SPERF-00000024,SUP-0001,12,2024,74,65,0.891,0.987,0.022,30,89.69,2026-04-30T04:36:50.726872
SPERF-00000025,SUP-0001,1,2025,9,7,0.831,0.959,0.0305,49,84.18,2026-04-30T04:36:50.726872
SPERF-00000026,SUP-0001,2,2025,64,44,0.703,0.896,0.0183,20,79.91,2026-04-30T04:36:50.726872
SPERF-00000027,SUP-0001,3,2025,36,26,0.727,0.846,0.0277,33,76.77,2026-04-30T04:36:50.726872
SPERF-00000028,SUP-0001,4,2025,40,29,0.729,0.818,0.0274,21,75.94,2026-04-30T04:36:50.726872
SPERF-00000029,SUP-0001,5,2025,34,32,0.967,0.816,0.0034,39,91.39,2026-04-30T04:36:50.726872
SPERF-00000030,SUP-0001,6,2025,20,18,0.931,0.895,0.0255,40,87.19,2026-04-30T04:36:50.726872
SPERF-00000031,SUP-0002,1,2023,78,61,0.785,0.983,0.012,59,87.81,2026-04-30T04:36:50.726872
SPERF-00000032,SUP-0002,2,2023,51,45,0.901,0.898,0.0098,41,90.02,2026-04-30T04:36:50.726872
SPERF-00000033,SUP-0002,3,2023,36,34,0.962,0.905,0.0224,39,89.56,2026-04-30T04:36:50.726872
SPERF-00000034,SUP-0002,4,2023,39,34,0.882,0.943,0.027,47,86.53,2026-04-30T04:36:50.726872
SPERF-00000035,SUP-0002,5,2023,51,38,0.756,0.921,0.0129,46,84.25,2026-04-30T04:36:50.726872
SPERF-00000036,SUP-0002,6,2023,70,62,0.886,0.909,0.0418,9,81.8,2026-04-30T04:36:50.726872
SPERF-00000037,SUP-0002,7,2023,76,63,0.832,0.911,0.0104,39,87.57,2026-04-30T04:36:50.726872
SPERF-00000038,SUP-0002,8,2023,16,12,0.792,0.925,0.0271,57,82.28,2026-04-30T04:36:50.726872
SPERF-00000039,SUP-0002,9,2023,10,8,0.826,0.869,0.0039,53,87.48,2026-04-30T04:36:50.726872
SPERF-00000040,SUP-0002,10,2023,7,6,0.902,0.87,0.032,40,83.53,2026-04-30T04:36:50.726872
SPERF-00000041,SUP-0002,11,2023,58,54,0.933,0.805,0.0205,32,85.37,2026-04-30T04:36:50.726872
SPERF-00000042,SUP-0002,12,2023,35,32,0.929,0.938,0.0445,22,83.87,2026-04-30T04:36:50.726872
SPERF-00000043,SUP-0002,1,2024,55,53,0.978,0.845,0.0472,40,81.89,2026-04-30T04:36:50.726872
SPERF-00000044,SUP-0002,2,2024,8,7,0.942,0.893,0.0244,19,87.84,2026-04-30T04:36:50.726872
SPERF-00000045,SUP-0002,3,2024,77,58,0.759,0.938,0.0373,42,78.86,2026-04-30T04:36:50.726872
SPERF-00000046,SUP-0002,4,2024,23,17,0.77,0.916,0.03,39,80.36,2026-04-30T04:36:50.726872
SPERF-00000047,SUP-0002,5,2024,9,7,0.821,0.959,0.04,7,81.41,2026-04-30T04:36:50.726872
SPERF-00000048,SUP-0002,6,2024,78,59,0.764,0.822,0.0249,27,78.1,2026-04-30T04:36:50.726872
SPERF-00000049,SUP-0002,7,2024,20,19,0.963,0.925,0.0299,37,88.42,2026-04-30T04:36:50.726872
SPERF-00000050,SUP-0002,8,2024,64,61,0.965,0.91,0.0226,44,89.8,2026-04-30T04:36:50.726872
SPERF-00000051,SUP-0002,9,2024,61,53,0.873,0.839,0.015,60,85.53,2026-04-30T04:36:50.726872
SPERF-00000052,SUP-0002,10,2024,39,29,0.745,0.887,0.0227,9,80.17,2026-04-30T04:36:50.726872
SPERF-00000053,SUP-0002,11,2024,55,53,0.979,0.917,0.0329,33,88.03,2026-04-30T04:36:50.726872
SPERF-00000054,SUP-0002,12,2024,27,22,0.828,0.82,0.0471,11,75.04,2026-04-30T04:36:50.726872
SPERF-00000055,SUP-0002,1,2025,16,12,0.777,0.92,0.0467,57,76.61,2026-04-30T04:36:50.726872
SPERF-00000056,SUP-0002,2,2025,60,43,0.726,0.8,0.0325,33,73.91,2026-04-30T04:36:50.726872
SPERF-00000057,SUP-0002,3,2025,6,5,0.881,0.955,0.037,21,84.41,2026-04-30T04:36:50.726872
SPERF-00000058,SUP-0002,4,2025,52,45,0.878,0.816,0.0499,16,76.2,2026-04-30T04:36:50.726872
SPERF-00000059,SUP-0002,5,2025,33,25,0.758,0.909,0.0152,59,83.34,2026-04-30T04:36:50.726872
SPERF-00000060,SUP-0002,6,2025,60,56,0.936,0.857,0.0359,8,83.46,2026-04-30T04:36:50.726872
SPERF-00000061,SUP-0003,1,2023,40,31,0.786,0.891,0.0441,21,76.6,2026-04-30T04:36:50.726872
SPERF-00000062,SUP-0003,2,2023,35,33,0.958,0.914,0.0307,46,87.64,2026-04-30T04:36:50.726872
SPERF-00000063,SUP-0003,3,2023,56,53,0.951,0.87,0.0337,36,85.06,2026-04-30T04:36:50.726872
SPERF-00000064,SUP-0003,4,2023,64,62,0.977,0.983,0.001,26,98.23,2026-04-30T04:36:50.726872
SPERF-00000065,SUP-0003,5,2023,54,40,0.759,0.894,0.0262,4,80.1,2026-04-30T04:36:50.726872
SPERF-00000066,SUP-0003,6,2023,17,13,0.812,0.817,0.0103,16,83.5,2026-04-30T04:36:50.726872
SPERF-00000067,SUP-0003,7,2023,57,56,0.986,0.806,0.0137,32,89.23,2026-04-30T04:36:50.726872
SPERF-00000068,SUP-0003,8,2023,77,59,0.777,0.977,0.0384,47,80.68,2026-04-30T04:36:50.726872
SPERF-00000069,SUP-0003,9,2023,80,68,0.856,0.86,0.002,26,88.84,2026-04-30T04:36:50.726872
SPERF-00000070,SUP-0003,10,2023,23,18,0.803,0.886,0.042,3,77.63,2026-04-30T04:36:50.726872
SPERF-00000071,SUP-0003,11,2023,17,15,0.925,0.842,0.0469,23,79.75,2026-04-30T04:36:50.726872
